namespace,Question_flag,Question_Number,Answer_Number,Label,Label2,Point_Recommendation
,,,,,,
Individualv4.2,01.02.01,2,1,None,Spontaneity and Self-Disclosure,1
,,,,,,
Individualv4.2,01.03.01,3,1,Exp,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.02,3,2,Secondary,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.03,3,3,Format,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.04,3,4,Esp other,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.03.05,3,5,Personal,Spontaneity and Self-Disclosure,0
,,,,,,
Individualv4.2,01.02.02,2,2,None,Individual Emotional intensity,1
,,,,,,
Individualv4.2,01.04.01,4,1,Emoti_neg,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.01,5,1,Cries_for_help,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.02,5,2,Fear,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.03,5,3,Anger,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.05.04,5,4,Other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.02,4,2,Emoti_pos,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.01,6,1,Communion,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.02,6,2,Salvation,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.06.03,6,3,Other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.03,4,3,Personal,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.04.04,4,4,Emoti_other,Individual Emotional intensity,0
,,,,,,
Individualv4.2,01.02.03,2,3,None,Individual Transgression of Conventions,1
,,,,,,
Individualv4.2,01.07.01,7,1,Resistance,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.02,7,2,Attack_expert,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.03,7,3,Conspiracy,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.07.04,7,4,Trans_other,Individual Transgression of Conventions,0
,,,,,,
Individualv4.2,01.02.04,2,4,None,Rhetorical style,1
,,,,,,
Individualv4.2,01.08.01,8,1,Irony/Humor,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.02,8,2,Gram_dev,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.03,8,3,FigSpe,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.04,8,4,Friends,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.05,8,5,Foes,Rhetorical style,0
,,,,,,
Individualv4.2,01.08.06,8,6,Style_other,Rhetorical style,0
,,,,,,
Individualv4.2,01.02.05,2,5,None,Individual Authority,1
,,,,,,
Individualv4.2,01.09.01,9,1,Expert/public Figure,Individual Authority,0
,,,,,,
Individualv4.2,01.09.02,9,2,Institutions,Individual Authority,0
,,,,,,
Individualv4.2,01.09.03,9,3,Social_validation,Individual Authority,0
,,,,,,
Individualv4.2,01.09.04,9,4,Facts/Stats,Individual Authority,0
,,,,,,
Individualv4.2,01.09.05,9,5,Rights,Individual Authority,0
,,,,,,
Individualv4.2,01.09.06,9,6,Traditions,Individual Authority,0
,,,,,,
Individualv4.2,01.09.07,9,7,Consistency,Individual Authority,0
,,,,,,
Individualv4.2,01.09.08,9,8,Authority_other,Individual Authority,0
,,,,,,
Communityv4.2,01.02.01,2,1,None,Branding,1
,,,,,,
Communityv4.2,01.03.01,3,1,Product,Branding,0
,,,,,,
Communityv4.2,01.04.01,4,1,Product_promotes,Branding,0
,,,,,,
Communityv4.2,01.04.02,4,2,Product_disliked,Branding,0
,,,,,,
Communityv4.2,01.04.03,4,3,Product_other,Branding,0
,,,,,,
Communityv4.2,01.03.02,3,2,Habit,Branding,0
,,,,,,
